Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mat.1.5#01	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Mat.1.5#02	σαλμων	Salmon	G4533=N-PRI								G4533_A	
Mat.1.5#03	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#03	G1080_A	
Mat.1.5#04	τὸν Βόες	Booz	G3588/G1003=T-ASM	Βοόζ=Boaz / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Treg: Βοὸς ; +Byz+TR: Βοὸζ ;	a el Boaz	the Boaz»Boaz|Boaz@Rut.2.1	#04»05:G1003 #05	G3588_A	
Mat.1.5#05	ἐκ	of	G1537=PREP	ἐκ=out from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			procedente de	out of	#06	G1537_A	
Mat.1.5#06	τῆς Ῥαχάβ·	Rachab	G3588/G4477=T-GSF	ὁ=the/this/who / Ῥαχάβ=Rahab	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn: ̔Ραχάβ ;	la Rahab	the Rahab»Rahab|Rahab@Jos.2.1	#07»08:G4477 #08	G3588_B	
Mat.1.5#07	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#10	G1161_B	
Mat.1.5#08	βοοζ	Booz	G1003=N-PRI								G1003_A	
Mat.1.5#09	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#11	G1080_B	
Mat.1.5#10	τὸν Ἰωβὴδ	Obed	G3588/G5601=T-ASM	ὁ=the/this/who / Ὠβήδ=Obed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		TR+Byz: Ὠβὴδ ;	a el Obed	the Obed»Obed|Obed@Rut.4.17	#12»13:G5601 #13	G3588_C	
Mat.1.5#11	ἐκ	of	G1537=PREP	ἐκ=out from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			procedente de	out of	#14	G1537_B	
Mat.1.5#12	τῆς Ῥούθ·	Ruth	G3588/G4503=T-GSF	ὁ=the/this/who / Ῥούθ=Ruth	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn: ̔Ρούθ ;	la Rut	the Ruth»Ruth|Ruth@Rut.1.4	#15»16:G4503 #16	G3588_D	
Mat.1.5#13	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#18	G1161_C	
Mat.1.5#14	ωβηδ	Obed	G5601=N-PRI								G5601_A	
Mat.1.5#15	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#19	G1080_C	
Mat.1.5#16	τὸν Ἰεσσαί·	Jesse	G3588/G2421=T-ASM	Ἰεσσαί=Jesse / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Jesé	the Jesse»Jesse|Jesse@Rut.4.17	#20»21:G2421 #21	G3588_E	
Mat.1.6#01	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Mat.1.6#02	ιεσσαι	Jesse	G2421=N-PRI								G2421_A	
Mat.1.6#03	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#03	G1080_A	
Mat.1.6#04	τὸν Δαυὶδ	David	G3588/G1138=T-ASM	Δαυείδ, Δαυίδ, Δαβίδ=David / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn+WH: Δαυεὶδ ; +TR: Δαβὶδ ;	a el David	the David»David|David@Rut.4.17	#04»05:G1138 #05	G3588_A	
Mat.1.6#05	τὸν βασιλέα·	the king	G3588/G935=T-ASM	βασιλεύς=king / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el rey	the king	#06»07:G0935 #07	G3588_B	
Mat.1.6#06	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#09	G1161_B	
Mat.1.6#07	δαβιδ	David	G1138=N-PRI								G1138_A	
Mat.1.6#08	ὁ βασιλεὺς	the king	G3588/G935=T-NSM	βασιλεύς=king / ὁ=the/this/who	TR+Byz			el rey	the king	#10»11:G0935 #11	G3588_C	
Mat.1.6#09	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#12	G1080_B	
Mat.1.6#10	τὸν Σολομῶνα	Solomon	G3588/G4672=T-ASM	Σολομών, Σαλωμών=Solomon / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		TR: Σολομῶντα ;	a el Salomón	the Solomon»Solomon|Solomon@2Sa.5.14	#13»14:G4672 #14	G3588_D	
Mat.1.6#11	ἐκ	of	G1537=PREP	ἐκ=out from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			procedente de	out of	#15	G1537_A	
Mat.1.6#12	τῆς	her	G3588=T-GSF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			la (esposa)	[that] which [is]	#16	G3588_E	
Mat.1.6#13	τοῦ Οὐρίου·	of Urias	G3588/G3774=T-GSM	Οὐρίας=Uriah / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de el Urías	the Uriah»Uriah|Uriah@2Sa.11.3	#17»18:G3774 #18	G3588_F	
Mat.1.7#01	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#04»05:G4497	G3588_A	
Mat.1.7#02	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#09»10:G0007	G3588_B	
Mat.1.7#03	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#14»15:G0760	G3588_C	
Mat.1.7#04	δε	And	G1161=CONJ								G1161_A	
Mat.1.7#05	σολομων	Solomon	G4672=N-NSM								G4672_A	
Mat.1.7#06	εγεννησεν	begat	G1080=V-AAI-3S								G1080_A	
Mat.1.7#07	ροβοαμ	Roboam	G4497=N-PRI								G4497_A	
Mat.1.7#08	δε	and	G1161=CONJ								G1161_B	
Mat.1.7#09	ροβοαμ	Roboam	G4497=N-PRI								G4497_B	
Mat.1.7#10	εγεννησεν	begat	G1080=V-AAI-3S								G1080_B	
Mat.1.7#11	αβια	Abia	G7=N-PRI								G7_A	
Mat.1.7#12	δε	and	G1161=CONJ								G1161_C	
Mat.1.7#13	αβια	Abia	G7=N-PRI								G7_B	
Mat.1.7#14	εγεννησεν	begat	G1080=V-AAI-3S								G1080_C	
