Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Rom.13.9#21	εἴ	if	G1487=COND	εἰ=if	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			si	: if»if|1_if/whether	#14	G1487_A	
Rom.13.9#22	τις	any	G5100=X-NSF	τις=one	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			alguno	one	#15»17:G1785	G5100_A	
Rom.13.9#23	ἑτέρα	other	G2087=A-NSF	ἕτερος=other	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			otro diferente	other	#16	G2087_A	
Rom.13.9#24	ἐντολή,	commandment	G1785=N-NSF	ἐντολή=commandment	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			mandato	commandment	#17	G1785_A	
Rom.13.9#25	ἀνακεφαλαιοῦται,	it is briefly comprehended	G346=V-PPI-3S	ἀνακεφαλαιόομαι=to summarise	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			está siendo resumida	to summarise	#22	G346_A	
Rom.13.9#26	ἐν	in	G1722=PREP	ἐν=in/on/among	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			en	in	#23	G1722_A	
Rom.13.9#27	τουτω	this	G3778=D-DSM								G3778_A	
Rom.13.9#28	τῷ	saying	G3588/G3056=T-DSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	[that] which [is]	#24«23:G1722	G3588_D	
Rom.13.9#29	εν	namely	G1722=PREP								G1722_B	
Rom.13.9#30	ἀγαπήσεις	Thou shalt love	G25=V-FAI-2S	ἀγαπάω=to love	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Amarás	to love	#25	G25_A	
Rom.13.9#31	σου	thy	G4771=P-2GS	σύ=you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de ti	your	#28«27:G4139	G4771_A	G4675
Rom.13.9#32	πλησιον	neighbour	G4139=ADV								G4139_A	
Rom.13.9#33	ὡς	as	G5613=ADV	ὡς=which/how	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			como	as	#29	G5613_A	
Rom.13.9#34	εαυτον	thyself	G1438=F-3ASM								G1438_A	
Rom.13.10#01	ἡ		G3588=T-DSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			El	the	#01»02:G0026	G3588_A	
Rom.13.10#02	τῷ ἀγάπη.¶	Love	G3588/G26=T-NSF	ἀγάπη=love / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el amor	the love	#03»04:G4139 #12	G3588_B	
Rom.13.10#03	εργαζεται	worketh	G2038=V-PNI-3S								G2038_A	
Rom.13.10#04	ουκ	no	G3756=PRT-N								G3756_A	
Rom.13.10#05	κακον	ill	G2556=A-ASN								G2556_A	
Rom.13.10#06	πλησιον	to his neighbour	G4139=ADV								G4139_A	
Rom.13.10#07	ουν	therefore	G3767=CONJ								G3767_A	
Rom.13.10#08	η	love	G3588/G26=T-NSF								G3588_C	
Rom.13.10#09	πληρωμα	the fulfilling	G4138=N-NSN								G4138_A	
Rom.13.10#10	νομου	of the law	G3551=N-GSM								G3551_A	
Rom.13.11#01	Καὶ	And	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Y	and	#01	G2532_A	
Rom.13.11#02	τοῦτο	that	G3778=D-ASN	οὗτος=this/he/she/it	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			esto	this	#02»03:G6063	G3778_A	G5124
Rom.13.11#03	ειδοτες	knowing	G1492=V-RAP-NPM								G1492_A	
Rom.13.11#04	τὸν καιρόν,	the time	G3588/G2540=T-ASM	καιρός=time/right time / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el tiempo señalado	the time	#04»05:G2540 #05	G3588_A	
Rom.13.11#05	ὅτι	that	G3754=CONJ	ὅτι=that/since	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			que	: that»that/since|1_that	#06«03:G6063	G3754_A	
Rom.13.11#06	ἤδη	now	G2235=ADV	ἤδη=already	NA28+NA27+Tyn+SBL+WH+Treg+TR»1+Byz»1			ya	already	#08	G2235_A	
Rom.13.11#07	ωρα	high time	G5610=N-NSF								G5610_A	
Rom.13.11#08	ημας		G1473=P-1AP								G1473_A	
Rom.13.11#09	ἐγερθῆναι·	to awake	G1453=V-APN	ἐγείρω=to arise	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			ser levantado	to arise	#12	G1453_A	
Rom.13.11#10	εξ	out of	G1537=PREP								G1537_A	
Rom.13.11#11	υπνου	sleep	G5258=N-GSM								G5258_A	
Rom.13.11#12	γὰρ	for	G1063=CONJ	γάρ=for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	for	#14	G1063_A	
Rom.13.11#13	νυν	now	G3568=ADV								G3568_A	
Rom.13.11#14	ημων	our	G1473=P-1GP								G1473_B	
Rom.13.11#15	ἡ σωτηρία	salvation	G3588/G4991=T-NSF	σωτηρία=salvation / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			la salvación	the salvation	#17»18:G4991 #18	G3588_B	G4992
Rom.13.11#16	εγγυτερον	nearer	G1452=ADV-C								G1452_A	
Rom.13.11#17	ἢ	than	G2228=PRT	ἤ=or/than	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			que	or	#19	G2228_A	
Rom.13.11#18	ὅτε	when	G3753=ADV	ὅτε=when	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			cuando	when	#20	G3753_A	
Rom.13.11#19	ἐπιστεύσαμεν·	we believed	G4100=V-AAI-1P	πιστεύω=to trust (in)	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			confiamos	to trust (in)	#21	G4100_A	
Rom.13.12#01	ἡ		G3588=T-NSF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			La	the	#01»02:G3571	G3588_A	
Rom.13.12#02	ἡ	The night	G3588/G3571=T-NSF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#04»06:G2250	G3588_B	
Rom.13.12#03	προεκοψεν	is far spent	G4298=V-AAI-3S								G4298_A	
Rom.13.12#04	δὲ		G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#05	G1161_A	
Rom.13.12#05	ἡμέρα	the day	G2250=N-NSF	ἡμέρα=day	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			día	day	#06	G2250_A	
Rom.13.12#06	ἤγγικεν.	is at hand	G1448=V-RAI-3S	ἐγγίζω=to come near	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(se) ha acercado	to come near	#07	G1448_A	
Rom.13.12#07	ἀποθώμεθα	let us	G659=V-2AMS-1P	ἀποτίθημι=to put aside	NA28+NA27+Tyn+WH+Treg+TR+Byz	ἀποβαλώμεθα (o=apobalōmetha) We may throw away - G0577=V-AMS-1P in: SBL		Despojémonos	to put aside	#08	G659_A	G0577
Rom.13.12#08	οὖν	therefore	G3767=CONJ	οὖν=therefore/then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			por lo tanto	then	#09	G3767_A	
Rom.13.12#09	αποθωμεθα	cast off	G659=V-2AMS-1P								G659_B	
Rom.13.12#10	τὰ ἔργα	the works	G3588/G2041=T-APN	ἔργον=work / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(de) las obras	the works	#10»11:G2041 #11	G3588_C	
Rom.13.12#11	τοῦ σκότους,	of darkness	G3588/G4655=T-GSN	σκότος=darkness / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de la oscuridad	the darkness	#12»13:G4655 #13	G3588_D	
Rom.13.12#12	καὶ	and	G2532=CONJ	καί=and	TR+Byz			y	and	#14	G2532_A	
Rom.13.12#13	ἐνδυσώμεθα	let us put on	G1746=V-AMS-1P	ἐνδύω=to put on	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			vistámonos	to clothe	#15	G1746_A	
Rom.13.12#14	τὰ ὅπλα	the armour	G3588/G3696=T-APN	ὁ=the/this/who / ὅπλον=weapon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			las armas	the weapons	#17»17:G3696 #18	G3588_E	
Rom.13.12#15	τοῦ φωτός.	of light	G3588/G5457=T-GSN	φῶς=light / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de la luz	the light	#19»19:G5457 #20	G3588_F	
Rom.13.13#01	περιπατήσωμεν,	Let us walk	G4043=V-AAS-1P	περιπατέω=to walk	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			caminemos alrededor	to walk	#05	G4043_A	
Rom.13.13#02	ευσχημονως	honestly	G2156=ADV								G2156_A	
Rom.13.13#03	ως	as	G5613=ADV								G5613_A	
Rom.13.13#04	εν	in	G1722=PREP								G1722_A	
Rom.13.13#05	ημερα	the day	G2250=N-DSF								G2250_A	
Rom.13.13#06	μὴ	not	G3361=PRT-N	μή=not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			no	not	#06»07:G2970	G3361_A	
Rom.13.13#07	κώμοις	in rioting	G2970=N-DPM	κῶμος=orgy	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a juergas orgiásticas	orgy	#07	G2970_A	
Rom.13.13#08	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#08»09:G3178	G2532_A	
Rom.13.13#09	μέθαις,	drunkenness	G3178=N-DPF	μέθη=drunkenness	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a borracheras	drunkenness	#09	G3178_A	
Rom.13.13#10	μὴ	not	G3361=PRT-N	μή=not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			no	not	#10»11:G2845	G3361_B	
Rom.13.13#11	κοίταις	in chambering	G2845=N-DPF	κοίτη=bed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a camas	bed	#11	G2845_A	
Rom.13.13#12	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#12»13:G0766	G2532_B	
Rom.13.13#13	ἀσελγείαις,	wantonness	G766=N-DPF	ἀσέλγεια=debauchery	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a actos de conducta desvergonzada	debauchery	#13	G766_A	
Rom.13.13#14	μὴ	not	G3361=PRT-N	μή=not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			no	not	#14»15:G2054	G3361_C	
Rom.13.13#15	ἔριδι	in strife	G2054=N-DSF	ἔρις=quarrel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a contienda	quarrel	#15	G2054_A	
Rom.13.13#16	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#16»17:G2205	G2532_C	
Rom.13.13#17	ζήλῳ·	envying	G2205=N-DSM	ζῆλος=zeal	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a celos	zeal	#17	G2205_A	
Rom.13.14#01	ἀλλ᾽	But	G235=CONJ	ἀλλά=but	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		NA27+Tyn+SBL+WH+Treg+TR+Byz: ἀλλὰ ;	Más bien	but	#01	G235_A	
Rom.13.14#02	ἐνδύσασθε	put ye on	G1746=V-AMM-2P	ἐνδύω=to put on	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			vístanse	to clothe	#02	G1746_A	
Rom.13.14#03	τὸν κύριον	the Lord	G3588/G2962=T-ASM	κύριος=lord / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(de) el Señor	the : God»lord|1_God	#03»04:G2962 #04	G3588_A	
Rom.13.14#04	Ἰησοῦν	Jesus	G2424=N-ASM	Ἰησοῦς=Jesus/Joshua	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Jesús	Jesus»Jesus|Jesus@Mat.1.1	#05	G2424_A	
Rom.13.14#05	Χριστὸν	Christ	G5547=N-ASM	Χριστός=Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Ungido	Christ»Christ|Jesus@Mat.1.1	#06	G5547_A	
Rom.13.14#06	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#07	G2532_A	
Rom.13.14#07	ποιεῖσθε	make	G4160=V-PMM-2P	ποιέω=to do/make	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estén haciendo	to make»2_make/create(OBJECT)	#12	G4160_A	
Rom.13.14#08	μη	not	G3361=PRT-N								G3361_A	
Rom.13.14#09	προνοιαν	provision	G4307=N-ASF								G4307_A	
Rom.13.14#10	της	for the flesh	G3588/G4561=T-GSF								G3588_B	
Rom.13.14#11	εἰς	to	G1519=PREP	εἰς=toward	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			hacia dentro	to	#13	G1519_A	
Rom.13.14#12	ἐπιθυμίας.¶	the lusts	G1939=N-APF	ἐπιθυμία=desire	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			deseos	desire	#14	G1939_A	
Rom.14.1#01	Τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			A el	[that] which	#01»03:G0770	G3588_A	
Rom.14.1#02	δὲ		G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Rom.14.1#03	ἀσθενοῦντα	Him that is weak	G770=V-PAP-ASM	ἀσθενέω=be weak	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estando débil	: weak»be weak|1_weak/disabled	#03	G770_A	
Rom.14.1#04	τῇ πίστει	in the faith	G3588/G4102=T-DSF	πίστις=faith / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a la confianza	the : faith»faith|1_faith	#04»05:G4102 #05	G3588_B	
Rom.14.1#05	προσλαμβάνεσθε	receive ye	G4355=V-PMM-2P	προσλαμβάνω=to take	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estén recibiendo hacia sí	to take	#06	G4355_A	
Rom.14.1#06	μὴ	not	G3361=PRT-N	μή=not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			no	not	#07	G3361_A	
Rom.14.1#07	εἰς	to	G1519=PREP	εἰς=toward	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			hacia dentro	toward	#08	G1519_A	
Rom.14.1#08	διαλογισμῶν.	doubtful	G1261=N-GPM	διαλογισμός=reasoning	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de razonamientos	reasoning	#10	G1261_A	
Rom.14.1#09	διακρισεις	disputations	G1253=N-APF								G1253_A	
Rom.14.2#01	ὁ		G3588=T-NSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	[that] which	#06»08:G0770	G3588_A	
Rom.14.2#02	μεν	For	G3303=PRT								G3303_A	
Rom.14.2#03	ος	one	G3739=R-NSM								G3739_A	
Rom.14.2#04	πιστευει	believeth	G4100=V-PAI-3S								G4100_A	
Rom.14.2#05	φαγειν	that he may eat	G5315=V-2AAN								G5315_A	
Rom.14.2#06	παντα	all things	G3956=A-APN								G3956_A	
Rom.14.2#07	δὲ	another	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	but	#07	G1161_A	
Rom.14.2#08	ἀσθενῶν	who is weak	G770=V-PAP-NSM	ἀσθενέω=be weak	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estando siendo débil	: weak»be weak|1_weak/disabled	#08	G770_A	
Rom.14.2#09	ἐσθίει.	eateth	G2068=V-PAI-3S	ἐσθίω=to eat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			está comiendo	to eat	#10	G2068_A	
Rom.14.2#10	λαχανα	herbs	G3001=N-APN								G3001_A	
Rom.14.3#01	ἐξουθενείτω,	Let	G1848=V-PAM-3S	ἐξουθενέω=to reject	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			esté considerando como nada	to reject	#07	G1848_A	
Rom.14.3#02	μὴ	not	G3361=PRT-N	μή=not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			no	not	#11»11:G2068	G3361_A	
Rom.14.3#03	τὸν ἐσθίοντα	him that eateth	G3588/G2068=T-NSM	ἐσθίω=to eat / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el estando comiendo	[that] which eats	#13»13:G2068 #14	G3588_A	
Rom.14.3#04	εξουθενειτω	despise	G1848=V-PAM-3S								G1848_B	
Rom.14.3#05	ὁ	him that eateth	G3588/G2068=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#17»17:G2316	G3588_B	
Rom.14.3#06	μη	not	G3361=PRT-N								G3361_B	
Rom.14.3#07	και	and	G2532=CONJ								G2532_A	
Rom.14.3#08	κρινετω	let	G2919=V-PAM-3S								G2919_A	
Rom.14.3#09	μη	not	G3361=PRT-N								G3361_C	
Rom.14.3#10	ο	him which eateth	G3588/G2068=T-NSM								G3588_C	
Rom.14.3#11	μη	not	G3361=PRT-N								G3361_D	
Rom.14.3#12	κρινετω	judge	G2919=V-PAM-3S								G2919_B	
Rom.14.3#13	τον	him that eateth	G3588/G2068=T-ASM								G3588_D	
Rom.14.3#14	γὰρ	for	G1063=CONJ	γάρ=for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	for	#19	G1063_A	
Rom.14.3#15	ο	God	G3588/G2316=T-NSM								G3588_E	
Rom.14.3#16	προσελάβετο.	hath received	G4355=V-2AMI-3S	προσλαμβάνω=to take	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			tomó hacia sí	to take	#21	G4355_A	
Rom.14.3#17	αυτον	him	G846=P-ASM								G846_A	
Rom.14.4#01	ὁ		G3588=T-DSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	[that] which	#04»05:G2919	G3588_A	
Rom.14.4#02	τῷ		G3588=T-NSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Para el	the	#08»10:G2962	G3588_B	
Rom.14.4#03	τις	Who	G5101=I-NSM								G5101_A	
Rom.14.4#04	ἐστιν	art	G1510=V-PAI-2S	εἰμί=to be	TR+Byz			está siendo	to be	#18	G1510_A	G2076
Rom.14.4#05	συ	thou	G4771=P-2NS								G4771_A	
Rom.14.4#06	κρινων	that judgest	G2919=V-PAP-NSM								G2919_A	
Rom.14.4#07	αλλοτριον	another man’s	G245=A-ASM								G245_A	
Rom.14.4#08	οικετην	servant	G3610=N-ASM								G3610_A	
Rom.14.4#09	ιδιω	to his own	G2398=A-DSM								G2398_A	
Rom.14.4#10	κύριος	master	G2962=N-DSM	κύριος=lord	NA28+NA27+Tyn+SBL+WH+Treg	θεὸς (T=theos) God - G2316=N-NSM-T in: TR+Byz		Señor	: God»lord|1_God	#20	G2962_A	G2316
Rom.14.4#11	στηκει	he standeth	G4739=V-PAI-3S								G4739_A	
Rom.14.4#12	η	or	G2228=PRT								G2228_A	
Rom.14.4#13	πιπτει	falleth	G4098=V-PAI-3S								G4098_A	
Rom.14.4#14	δε	Yea	G1161=CONJ								G1161_A	
Rom.14.4#15	στῆσαι	he shall be holden up	G2476=V-FPI-3S	ἵστημι=to stand	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			poner de pie	to stand	#21	G2476_A	
Rom.14.4#16	γαρ	for	G1063=CONJ								G1063_A	
Rom.14.4#17	ο	God	G3588/G2316=T-NSM								G3588_C	
Rom.14.4#18	εστιν	is	G1510=V-PAI-3S								G1510_B	
Rom.14.4#19	δυνατος	able	G1415=A-NSM								G1415_A	
Rom.14.4#20	στησαι	to make	G2476=V-AAN								G2476_B	
Rom.14.4#21	αὐτόν.	him	G846=P-ASM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a él	him	#22«21:G2476	G846_A	G3778
Rom.14.4#22	στησαι	stand	G2476=V-AAN								G2476_C	
Rom.14.5#01	μὲν		G3303=PRT	μέν=on one hand	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de hecho	on one hand	#02	G3303_A	
Rom.14.5#02	ὃς	One man	G3739=R-NSM	ὅς, ἥ=which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			quien	which	#08»10:G2919	G3739_A	
Rom.14.5#03	κρίνει	esteemeth	G2919=V-PAI-3S	κρίνω=to judge	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			está juzgando	to judge	#10	G2919_A	
Rom.14.5#04	ἡμέραν·	one day	G2250=N-ASF	ἡμέρα=day	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			día	day	#12	G2250_A	
Rom.14.5#05	παρ	above	G3844=PREP								G3844_A	
Rom.14.5#06	ημεραν	another	G2250=N-ASF								G2250_B	
Rom.14.5#07	δε		G1161=CONJ								G1161_A	
Rom.14.5#08	ος	another	G3739=R-NSM								G3739_B	
Rom.14.5#09	κρινει	esteemeth	G2919=V-PAI-3S								G2919_B	
Rom.14.5#10	πασαν	every	G3956=A-ASF								G3956_A	
Rom.14.5#11	ημεραν	day	G2250=N-ASF								G2250_C	
Rom.14.5#12	πληροφορείσθω.	Let	G4135=V-PPM-3S	πληροφορέω=to fulfill	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estando siendo convencido plenamente	to fulfill	#18	G4135_A	
Rom.14.5#13	εκαστος	every man	G1538=A-NSM								G1538_A	
Rom.14.5#14	πληροφορεισθω	be fully persuaded	G4135=V-PPM-3S								G4135_B	
Rom.14.5#15	εν	in	G1722=PREP								G1722_A	
Rom.14.5#16	τω	his own	G3588/G2398=T-DSM								G3588_A	
Rom.14.5#17	νοι	mind	G3563=N-DSM								G3563_A	
Rom.14.6#01	ὁ φρονῶν	He that regardeth	G3588/G5426=T-NSM	φρονέω=to reason / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			El estando teniendo la mente en	[that] which to think	#01»02:G5426 #02	G3588_A	
Rom.14.6#02	τὴν ἡμέραν	the day	G3588/G2250=T-ASF	ἡμέρα=day / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el día	the day	#03»04:G2250 #04	G3588_B	
Rom.14.6#03	φρονεῖ	regardeth	G5426=V-PAI-3S	φρονέω=to reason	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			está teniendo en mente	to think	#06	G5426_A	
Rom.14.6#04	κυρίῳ	unto the Lord	G2962=N-DSM	κύριος=lord	TR+Byz			señor	: God»lord|1_God	#13	G2962_A	
Rom.14.6#05	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+Byz			y	and	#16	G2532_A	
Rom.14.6#06	ὁ	he that regardeth	G3588/G5426=T-NSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	[that] which	#17»18:G2068	G3588_C	
Rom.14.6#07	μὴ	not	G3361=PRT-N	μή=not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			no	not	#27»28:G2068	G3361_A	
Rom.14.6#08	τῷ	the day	G3588/G2250=T-ASF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#34»35:G2316	G3588_D	
Rom.14.6#09	κυριω	to the Lord	G2962=N-DSM								G2962_B	
Rom.14.6#10	φρονει	he doth	G5426=V-PAI-3S								G5426_B	
Rom.14.6#11	ου	not	G3756=PRT-N								G3756_A	
Rom.14.6#12	φρονει	regard	G5426=V-PAI-3S								G5426_C	
Rom.14.6#13	ο	He that eateth	G3588/G2068=T-NSM								G3588_E	
Rom.14.6#14	εσθιει	eateth	G2068=V-PAI-3S								G2068_A	
Rom.14.6#15	κυριω	to the Lord	G2962=N-DSM								G2962_C	
Rom.14.6#16	γαρ	for	G1063=CONJ								G1063_A	
Rom.14.6#17	ευχαριστει	he giveth	G2168=V-PAI-3S								G2168_A	
Rom.14.6#18	θεῷ.	God	G3588/G2316=T-DSM	θεός=God	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Dios	God	#35	G3588_F	
Rom.14.6#19	ευχαριστει	thanks	G2168=V-PAI-3S								G2168_B	
Rom.14.6#20	και	and	G2532=CONJ								G2532_B	
Rom.14.6#21	ο	he that eateth	G3588/G2068=T-NSM								G3588_G	
Rom.14.6#22	μη	not	G3361=PRT-N								G3361_B	
Rom.14.6#23	κυριω	to the Lord	G2962=N-DSM								G2962_D	
Rom.14.6#24	εσθιει	he eateth	G2068=V-PAI-3S								G2068_B	
Rom.14.6#25	ουκ	not	G3756=PRT-N								G3756_B	
Rom.14.6#26	και	and	G2532=CONJ								G2532_C	
Rom.14.6#27	ευχαριστει	giveth	G2168=V-PAI-3S								G2168_C	
Rom.14.6#28	τω	God	G3588/G2316=T-DSM								G3588_H	
Rom.14.6#29	ευχαριστει	thanks	G2168=V-PAI-3S								G2168_D	
Rom.14.7#01	γὰρ	For	G1063=CONJ	γάρ=for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	for	#02	G1063_A	
Rom.14.7#02	οὐδεὶς	none	G3762=A-NSM-N	οὐδείς=none	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			nadie	no one	#07	G3762_A	
Rom.14.7#03	ημων	of us	G1473=P-1GP								G1473_A	
Rom.14.7#04	ζη	liveth	G2198=V-PAI-3S								G2198_A	
Rom.14.7#05	ἑαυτῷ	to himself	G1438=F-3DSM	ἑαυτοῦ=my/your/him-self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			para sí mismo	himself	#08»09:G0599	G1438_A	
Rom.14.7#06	και	and	G2532=CONJ								G2532_A	
Rom.14.7#07	ουδεις	no man	G3762=A-NSM-N								G3762_B	
Rom.14.7#08	ἀποθνῄσκει.	dieth	G599=V-PAI-3S	ἀποθνήσκω=to die	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			está muriendo	dies	#09	G599_A	
Rom.14.7#09	εαυτω	to himself	G1438=F-3DSM								G1438_B	
Rom.14.8#01	γὰρ	For	G1063=CONJ	γάρ=for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	for	#03	G1063_A	
Rom.14.8#02	ἐάν	whether	G1437=COND	ἐάν=if	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			si alguna vez	if	#08	G1437_A	
Rom.14.8#03	τε		G5037=PRT	τε=and/both	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#09	G5037_A	
Rom.14.8#04	ζῶμεν,	we live	G2198=V-PAS-1P	ζάω=to live	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estemos viviendo	to live	#17	G2198_A	
Rom.14.8#05	ζωμεν	we live	G2198=V-PAI-1P								G2198_B	
Rom.14.8#06	τοῦ κυρίου	unto the Lord	G3588/G2962=T-DSM	κύριος=lord / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de el Señor	the : God»lord|1_God	#21»22:G2962 #22	G3588_A	
Rom.14.8#07	τε	and	G5037=PRT								G5037_B	
Rom.14.8#08	εαν	whether	G1437=COND								G1437_B	
Rom.14.8#09	αποθνησκωμεν	we die	G599=V-PAS-1P								G599_A	
